Year;DOY;Hour ;R (Sunspots);F10.7 index;SW Plasma Speed ;Bz (GSM);Dst index;Kp index;AE index;VTEC_10N;VTEC_40N;VTEC_70N;VTEC_10N (t+24);VTEC_40N (t+24);VTEC_70N (t+24)
2015;1;0;104;132.9;568;1.1;-14;23;42;12.3;8.2;5.1;17.6;8.4;6.8
2015;1;1;104;132.9;585;0.3;-13;23;43;9.4;7.1;4.9;14.6;8.4;6.8
2015;1;2;104;132.9;579;-0.7;-15;23;105;9.3;8.3;4.5;9.8;8.8;6.9
2015;1;3;104;132.9;560;0.5;-13;10;76;8.5;9.2;4.9;7.9;9.1;7.7
2015;1;4;104;132.9;554;-0.1;-12;10;81;7.3;8.6;5.6;8.1;9;7.8
2015;1;5;104;132.9;566;0;-13;10;87;6.7;8.2;5.8;8.6;9.2;7.5
2015;1;6;104;132.9;560;-0.2;-13;10;63;13;8.1;5.4;15.3;9.9;5.3
2015;1;7;104;132.9;556;-0.5;-9;10;71;22.6;13.5;4.2;25.4;13.9;2.9
2015;1;8;104;132.9;531;-1.3;-8;10;98;31.3;18;3.2;34.1;21.2;3.7
2015;1;9;104;132.9;518;-0.5;-7;10;168;39.2;20;4.6;40.8;22.7;7
2015;1;10;104;132.9;502;0.4;-3;10;75;45.6;23.5;7.2;47.5;22.7;9.4
2015;1;11;104;132.9;480;-0.4;-1;10;37;51;24.2;11;52.7;21.5;13.1
2015;1;12;104;132.9;481;-0.4;3;13;63;54.9;23.2;11.2;50.5;24.4;14.2
2015;1;13;104;132.9;462;0.3;8;13;78;56.5;21.2;9.1;53.6;25;10.7
2015;1;14;104;132.9;464;0;9;13;80;57.8;19.2;6.5;59.6;23.2;6.1
2015;1;15;104;132.9;454;-0.6;7;13;63;56;18.6;4;58.6;21.6;6.4
2015;1;16;104;132.9;455;-0.4;3;13;48;47.9;15.4;2.7;50.6;19.3;5.2
2015;1;17;104;132.9;451;-0.8;1;13;188;42.2;10.9;2.8;43.7;15.4;5.1
2015;1;18;104;132.9;446;-1.3;1;17;114;33.8;9.3;4.1;34;11.2;8.9
2015;1;19;104;132.9;440;-1;-2;17;93;24.1;8.3;5.6;21.4;9.8;10.6
2015;1;20;104;132.9;433;-0.4;-5;17;109;19.4;8.5;7;16.8;10;11.3
2015;1;21;104;132.9;436;-2.7;-7;23;52;17.5;8.1;8;17.9;9.1;15.3
2015;1;22;104;132.9;442;-3.3;-7;23;197;17.1;8.3;8.3;21.2;9.7;17
2015;1;23;104;132.9;439;-3.4;-14;23;352;18.4;8.6;7.9;23.6;10.1;12
2015;2;0;122;141;433;-2.1;-22;30;175;17.6;8.4;6.8;19.3;10.7;10.1
2015;2;1;122;141;432;-1.7;-21;30;115;14.6;8.4;6.8;15.4;10.9;10
2015;2;2;122;141;433;-2.4;-16;30;155;9.8;8.8;6.9;12.7;10.8;11.1
2015;2;3;122;141;433;-2.3;-7;10;79;7.9;9.1;7.7;11.1;9.7;10.7
2015;2;4;122;141;430;-1.7;-3;10;48;8.1;9;7.8;11.2;8.5;10
2015;2;5;122;141;414;-1.1;-4;10;49;8.6;9.2;7.5;10.8;9.3;8.1
2015;2;6;122;141;415;-1.1;-4;13;73;15.3;9.9;5.3;16.8;10.5;7.2
2015;2;7;122;141;431;-1.8;1;13;117;25.4;13.9;2.9;28.6;15.9;7.2
2015;2;8;122;141;435;1.8;-1;13;157;34.1;21.2;3.7;39;24.4;7.7
2015;2;9;122;141;456;2;3;17;84;40.8;22.7;7;48.2;27.7;9.1
2015;2;10;122;141;465;0.6;10;17;96;47.5;22.7;9.4;54.5;31.9;10.7
2015;2;11;122;141;445;0.6;8;17;146;52.7;21.5;13.1;58.6;33.4;13
2015;2;12;122;141;433;-2.7;8;23;391;50.5;24.4;14.2;58.1;30.9;14
2015;2;13;122;141;432;-5.1;4;23;516;53.6;25;10.7;62.8;30.7;12
2015;2;14;122;141;417;1.4;-5;23;237;59.6;23.2;6.1;65.4;29.4;9.8
2015;2;15;122;141;420;3.3;-2;23;83;58.6;21.6;6.4;60.9;26;8.4
2015;2;16;122;141;425;0.4;0;23;81;50.6;19.3;5.2;54.9;19.6;7.1
2015;2;17;122;141;412;-5.2;-2;23;168;43.7;15.4;5.1;47.9;14.3;5.9
2015;2;18;122;141;396;-7.2;-17;30;550;34;11.2;8.9;37.1;12.2;5.2
2015;2;19;122;141;386;-7.6;-30;30;721;21.4;9.8;10.6;29.3;10;4.7
2015;2;20;122;141;382;-6.7;-42;30;677;16.8;10;11.3;26.8;9.8;5.4
2015;2;21;122;141;383;-4.2;-42;40;537;17.9;9.1;15.3;26.8;9.3;5.4
